,Month,P,months,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,t,t_squared,log_P
83,Dec-2001,278,Dec,0,0,1,0,0,0,0,0,0,0,0,0,84,7056,5.627621113690637
84,Jan-2002,284,Jan,0,0,0,0,1,0,0,0,0,0,0,0,85,7225,5.648974238161206
85,Feb-2002,277,Feb,0,0,0,1,0,0,0,0,0,0,0,0,86,7396,5.6240175061873385
86,Mar-2002,317,Mar,0,0,0,0,0,0,0,1,0,0,0,0,87,7569,5.75890177387728
87,Apr-2002,313,Apr,1,0,0,0,0,0,0,0,0,0,0,0,88,7744,5.746203190540153
88,May-2002,318,May,0,0,0,0,0,0,0,0,1,0,0,0,89,7921,5.762051382780177
89,Jun-2002,374,Jun,0,0,0,0,0,0,1,0,0,0,0,0,90,8100,5.924255797414532
90,Jul-2002,413,Jul,0,0,0,0,0,1,0,0,0,0,0,0,91,8281,6.023447592961033
91,Aug-2002,405,Aug,0,1,0,0,0,0,0,0,0,0,0,0,92,8464,6.003887067106539
92,Sep-2002,355,Sep,0,0,0,0,0,0,0,0,0,0,0,1,93,8649,5.872117789475416
93,Oct-2002,306,Oct,0,0,0,0,0,0,0,0,0,0,1,0,94,8836,5.723585101952381
94,Nov-2002,271,Nov,0,0,0,0,0,0,0,0,0,1,0,0,95,9025,5.602118820879701
95,Dec-2002,306,Dec,0,0,1,0,0,0,0,0,0,0,0,0,96,9216,5.723585101952381
