,Month,Sales,months,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,t,t_squared,log_Sales
26,Mar-51,885,Mar,0,0,0,0,0,0,0,1,0,0,0,0,27,729,6.785587645007929
27,Apr-51,1055,Apr,1,0,0,0,0,0,0,0,0,0,0,0,28,784,6.961296045910167
28,May-51,1204,May,0,0,0,0,0,0,0,0,1,0,0,0,29,841,7.093404625868766
29,Jun-51,1326,Jun,0,0,0,0,0,0,1,0,0,0,0,0,30,900,7.189922170745808
30,Jul-51,1303,Jul,0,0,0,0,0,1,0,0,0,0,0,0,31,961,7.172424577124845
31,Aug-51,1436,Aug,0,1,0,0,0,0,0,0,0,0,0,0,32,1024,7.269616749608169
32,Sep-51,1473,Sep,0,0,0,0,0,0,0,0,0,0,0,1,33,1089,7.29505641646263
33,Oct-51,1453,Oct,0,0,0,0,0,0,0,0,0,0,1,0,34,1156,7.2813856635702825
34,Nov-51,1170,Nov,0,0,0,0,0,0,0,0,0,1,0,0,35,1225,7.064759027791802
35,Dec-51,1023,Dec,0,0,1,0,0,0,0,0,0,0,0,0,36,1296,6.930494765951626
36,Jan-52,951,Jan,0,0,0,0,1,0,0,0,0,0,0,0,37,1369,6.85751406254539
37,Feb-52,861,Feb,0,0,0,1,0,0,0,0,0,0,0,0,38,1444,6.7580945044277305
38,Mar-52,938,Mar,0,0,0,0,0,0,0,1,0,0,0,0,39,1521,6.843749949006225
39,Apr-52,1109,Apr,1,0,0,0,0,0,0,0,0,0,0,0,40,1600,7.011213987350367
40,May-52,1274,May,0,0,0,0,0,0,0,0,1,0,0,0,41,1681,7.149916836132109
41,Jun-52,1422,Jun,0,0,0,0,0,0,1,0,0,0,0,0,42,1764,7.259819610363186
42,Jul-52,1486,Jul,0,0,0,0,0,1,0,0,0,0,0,0,43,1849,7.303843225277705
43,Aug-52,1555,Aug,0,1,0,0,0,0,0,0,0,0,0,0,44,1936,7.349230824613334
44,Sep-52,1604,Sep,0,0,0,0,0,0,0,0,0,0,0,1,45,2025,7.38025578842646
45,Oct-52,1600,Oct,0,0,0,0,0,0,0,0,0,0,1,0,46,2116,7.3777589082278725
46,Nov-52,1403,Nov,0,0,0,0,0,0,0,0,0,1,0,0,47,2209,7.246368080102461
47,Dec-52,1209,Dec,0,0,1,0,0,0,0,0,0,0,0,0,48,2304,7.097548850614793
48,Jan-53,1030,Jan,0,0,0,0,1,0,0,0,0,0,0,0,49,2401,6.937314081223682
49,Feb-53,1032,Feb,0,0,0,1,0,0,0,0,0,0,0,0,50,2500,6.939253946041508
50,Mar-53,1126,Mar,0,0,0,0,0,0,0,1,0,0,0,0,51,2601,7.026426808699636
51,Apr-53,1285,Apr,1,0,0,0,0,0,0,0,0,0,0,0,52,2704,7.158513997329321
52,May-53,1468,May,0,0,0,0,0,0,0,0,1,0,0,0,53,2809,7.291656209174461
53,Jun-53,1637,Jun,0,0,0,0,0,0,1,0,0,0,0,0,54,2916,7.400620577371135
54,Jul-53,1611,Jul,0,0,0,0,0,1,0,0,0,0,0,0,55,3025,7.384610383176974
55,Aug-53,1608,Aug,0,1,0,0,0,0,0,0,0,0,0,0,56,3136,7.382746449738912
56,Sep-53,1528,Sep,0,0,0,0,0,0,0,0,0,0,0,1,57,3249,7.331714969726466
57,Oct-53,1420,Oct,0,0,0,0,0,0,0,0,0,0,1,0,58,3364,7.258412150595307
58,Nov-53,1119,Nov,0,0,0,0,0,0,0,0,0,1,0,0,59,3481,7.020190708311925
59,Dec-53,1013,Dec,0,0,1,0,0,0,0,0,0,0,0,0,60,3600,6.920671504248683
